Time (s),V_a (V),V_b (V),V_c (V),I_a (A),I_b (A),I_c (A)
0.0613,9888.982475938237,-24734.98186127934,14845.999385341082,20.408163265306122,6.024096385542169,4.016064257028113
0.0614,10601.904359039985,-24812.672193135313,14210.767834095306,20.408163265306122,6.024096385542169,4.016064257028113
0.061500000000000006,11304.363442522785,-24865.87541320688,13561.51197068407,20.408163265306122,6.024096385542169,4.016064257028113
0.0616,11995.666484080073,-24894.539016339124,12898.872532259027,20.408163265306122,6.024096385542169,4.016064257028113
0.061700000000000005,12675.13125107202,-24898.634715016367,12223.50346394432,20.408163265306122,6.024096385542169,4.016064257028113
0.0618,13342.087193806223,-24878.158467278485,11536.071273472236,20.408163265306122,6.024096385542169,4.016064257028113
0.061900000000000004,13995.876107289921,-24833.130480709868,10837.25437341992,20.408163265306122,6.024096385542169,4.016064257028113
0.062,14635.85278079825,-24763.595192496974,10127.742411698695,20.408163265306122,6.024096385542169,4.016064257028113
0.0621,15261.385634619925,-24669.621225574156,9408.235590954202,20.408163265306122,6.024096385542169,4.016064257028113
0.062200000000000005,15871.857343349646,-24551.301320901162,8679.443977551484,20.408163265306122,6.024096385542169,4.016064257028113
0.0623,16466.66544511397,-24408.752245938977,7942.086800824977,20.408163265306122,6.024096385542169,4.016064257028113
0.062400000000000004,17045.222936128645,-24242.114679414408,7196.891743285731,20.408163265306122,6.024096385542169,4.016064257028113
0.0625,17606.958850000003,-24051.55307248725,6444.594222487216,20.408163265306122,6.024096385542169,4.016064257028113
0.0626,18151.318821200373,-23837.25548645672,5685.936665256311,20.408163265306122,6.024096385542169,4.016064257028113
0.0627,18677.7656321595,-23599.433407167788,4921.667775008251,20.408163265306122,6.024096385542169,4.016064257028113
0.06280000000000001,19185.7797434336,-23338.32153630013,4152.541792866496,20.408163265306122,6.024096385542169,4.016064257028113
0.0629,19674.859806428187,-23054.17755974585,3379.317753317627,20.408163265306122,6.024096385542169,4.016064257028113
0.063,20144.523158168497,-22747.281893304662,2602.758735136124,20.408163265306122,6.024096385542169,4.016064257028113
0.0631,20594.30629762945,-22417.9374059474,1823.6311083179112,20.408163265306122,6.024096385542169,4.016064257028113
0.0632,21023.765343155323,-22066.46912092089,1042.7037777655287,20.408163265306122,6.024096385542169,4.016064257028113
0.06330000000000001,21432.476470517497,-21693.223894989096,260.747424471556,20.408163265306122,6.024096385542169,4.016064257028113
0.0634,21820.03633117747,-21298.57007612765,-521.4662550498637,20.408163265306122,6.024096385542169,4.016064257028113
0.0635,22186.062450343525,-20882.897140008547,-1303.1653103350213,20.408163265306122,6.024096385542169,4.016064257028113
0.0636,22530.193604426833,-20446.61530563503,-2083.5782987918446,20.408163265306122,6.024096385542169,4.016064257028113
0.0637,22852.090177525846,-19990.155130504583,-2861.9350470213053,20.408163265306122,6.024096385542169,4.016064257028113
0.06380000000000001,23151.43449658592,-19513.967085701002,-3637.467410884961,20.408163265306122,6.024096385542169,4.016064257028113
0.0639,23427.931144904393,-19018.521111333688,-4409.410033570749,20.408163265306122,6.024096385542169,4.016064257028113
0.064,23681.307253671253,-18504.306152763373,-5177.001100907927,20.408163265306122,6.024096385542169,4.016064257028113
0.0641,23911.31277125764,-17971.829678072172,-5939.483093185513,20.408163265306122,6.024096385542169,4.016064257028113
0.06420000000000001,24117.72070998657,-17421.617177254004,-6696.103532732609,20.408163265306122,6.024096385542169,4.016064257028113
0.06430000000000001,24300.327370142448,-16854.211643619223,-7446.115726523273,20.408163265306122,6.024096385542169,4.016064257028113
0.0644,24458.952540998038,-16270.173037925946,-8188.779503072137,20.408163265306122,6.024096385542169,4.016064257028113
0.0645,24593.439678660827,-15670.077735765904,-8923.361942894968,20.408163265306122,6.024096385542169,4.016064257028113
0.0646,24703.656060562727,-15054.517958752069,-9649.138101810704,20.408163265306122,6.024096385542169,4.016064257028113
0.06470000000000001,24789.49291644139,-14424.101190066925,-10365.391726374512,20.408163265306122,6.024096385542169,4.016064257028113
0.0648,24850.865535683264,-13779.449574950173,-11071.415960733138,20.408163265306122,6.024096385542169,4.016064257028113
0.0649,24887.713350922786,-13121.199306715906,-11766.51404420693,20.408163265306122,6.024096385542169,4.016064257028113
0.065,24899.999997814994,-12449.9999989075,-12449.99999890754,20.408163265306122,6.024096385542169,4.016064257028113
0.0651,24887.713350922786,-11766.514044206886,-13121.199306715947,20.408163265306122,6.024096385542169,4.016064257028113
